	Animal-associated_4698	Animal-associated_4840	Coastal_sea_water_274	Marine_1086	Animal-associated_3849	Animal-associated_3691	Animal-associated_3685	Marine_1092	Hot_spring_260	Animal-associated_4854	Oceanic_pelagic_zone_248	Animal-associated_3875	Animal-associated_3861	Animal-associated_4868	Animal-associated_4883	Animal-associated_3134	Animal-associated_3652	Marine_5223	Marine_1045	Marine_1051	Animal-associated_4129	Animal-associated_3646	Animal-associated_2558	Marine_5237	Animal-associated_4897	Animal-associated_3120	Animal-associated_3108	Animal-associated_4667	Marine_1079	Animal-associated_4101	Animal-associated_2570	Animal-associated_4115	Animal-associated_2564	Animal-associated_4673	Animal-associated_3493	Animal-associated_2955	Animal-associated_710	Oceanic_gyre_704	Sewage_1290	Animal-associated_3487	Animal-associated_2941	Animal-associated_2799	Animal-associated_2969	Coastal_sea_water_1247	Animal-associated_3450	Animal-associated_2996	Animal-associated_4459	Animal-associated_3336	Animal-associated_1521	Saline_water_1535
Oceanic_pelagic_zone_248	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.210897	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.295981	1	1	1	1	1	1	1
Animal-associated_3875	0.295981	0.295981	0.295981	1	0.295981	1	1	1	1	0.295981	1	0	1	0.295981	0.295981	1	1	1	1	1	1	1	1	0.295981	0.295981	0.295981	1	0.295981	1	1	1	1	1	0.295981	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1
Animal-associated_3861	1	1	1	0.295981	0.219531	0.263022	0.295981	0.295981	1	1	1	1	0	1	1	1	0.263022	1	0.295981	0.295981	1	0.295981	1	1	1	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Animal-associated_4868	0.0554283	0.106845	0.295981	1	0.295981	1	1	1	0.295981	0.0509537	1	0.295981	1	0	0.0586096	1	1	1	1	1	1	1	1	0.295981	0.0618432	0.295981	1	0.0590885	1	1	1	1	1	0.0586096	0.295981	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	0.295981	1
Animal-associated_4883	0.0642645	0.11197	0.263022	1	0.295981	1	1	1	1	0.0634394	1	0.295981	1	0.0586096	0	1	1	1	1	1	1	1	1	0.295981	0.0726524	0.295981	1	0.0680698	1	1	1	1	1	0.0656822	0.295981	0.295981	1	0.295981	1	1	1	1	1	1	1	1	0.243761	1	1	1
Animal-associated_3134	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0.164662	0.263022	1	1	1	1	1	1	1	0.23011	0.263022	1	0.295981	1	0.23011	0.243761	1	0.263022	1	0.243761	0.243761	1	1	0.295981	1
Animal-associated_3652	1	1	1	1	0.243761	0.0955937	0.0887833	1	1	1	1	1	0.263022	1	1	1	0	1	1	1	1	0.100846	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Marine_5223	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0.174408	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Marine_1045	1	1	1	0.0730018	0.295981	1	1	0.0579033	1	1	1	1	0.295981	1	1	1	1	1	0	0.0480354	1	1	1	1	1	1	1	1	0.0482105	1	1	1	1	1	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1
Marine_1051	1	1	1	0.080322	0.295981	1	1	0.064825	1	1	1	1	0.295981	1	1	1	1	1	0.0480354	0	1	1	1	1	1	1	1	1	0.0509537	1	1	1	1	1	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1
