sample_id	biome
2851	Animal-associated
2852	Animal-associated
2853	Animal-associated
2854	Animal-associated
2855	Animal-associated
2856	Animal-associated
2857	Animal-associated
2858	Animal-associated
2859	Animal-associated
2860	Animal-associated
2861	Animal-associated
2862	Animal-associated
2863	Animal-associated
2864	Animal-associated
2865	Animal-associated
2866	Animal-associated
2867	Animal-associated
2868	Animal-associated
2869	Animal-associated
2870	Animal-associated
2871	Animal-associated
2872	Animal-associated
2873	Animal-associated
2874	Animal-associated
2875	Animal-associated
2876	Animal-associated
2877	Animal-associated
2878	Animal-associated
2879	Animal-associated
2880	Animal-associated
2881	Animal-associated
2882	Animal-associated
2883	Animal-associated
2884	Animal-associated
2885	Animal-associated
2886	Animal-associated
2887	Animal-associated
2888	Animal-associated
2889	Animal-associated
2890	Animal-associated
2891	Animal-associated
2892	Animal-associated
2893	Animal-associated
2894	Animal-associated
2895	Animal-associated
2896	Animal-associated
2897	Animal-associated
2898	Animal-associated
2899	Animal-associated
2900	Animal-associated
2901	Animal-associated
2902	Animal-associated
2903	Animal-associated
2904	Animal-associated
2905	Animal-associated
2906	Animal-associated
2907	Animal-associated
2908	Animal-associated
2909	Animal-associated
2910	Animal-associated
2911	Animal-associated
2912	Animal-associated
2913	Animal-associated
2914	Animal-associated
2915	Animal-associated
2916	Animal-associated
2917	Animal-associated
2918	Animal-associated
2919	Animal-associated
2920	Animal-associated
2921	Animal-associated
2922	Animal-associated
2923	Animal-associated
2924	Animal-associated
2925	Animal-associated
2926	Animal-associated
2927	Animal-associated
2928	Animal-associated
2929	Animal-associated
2930	Animal-associated
2931	Animal-associated
2932	Animal-associated
